Band	ANSP	Plate.number	Taxon_order	Taxon_family	Taxon	Season	Date	Age	Sex	Gel.band.haem	Gel.band.Leuco	Lineage.N..O.	Parasite.1	Parasite.2	Parasite.3	Parasite.4	Lineage.Name.1	Lineage.Name.2	Lineage.Name.3	Lineage.Name.4	Migration	Breeding	lineage.per.host	infxn	haempresence	plaspresence	leucopresence	mixedinfxn	
217102958	30318	Rushton_1	Passeriformes	Parulidae	Seiurus aurocapilla	spring	26-May-15	ASY	U												3	0	0	0	0	0	0	0	
264172968	30319	Rushton_1	Passeriformes	Turdidae	Hylocichla mustelina	spring	26-May-15	SY	Male	positive	positive	Old	Plasmodium	Leucocytozoon			TUMIG03	CATMIN01			3	0	2	1	0	1	1	1	
264173020	30320	Rushton_1	Passeriformes	Turdidae	Hylocichla mustelina	spring	26-May-15	SY	Female												3	0	0	0	0	0	0	0	
264172970	30321	Rushton_1	Passeriformes	Turdidae	Hylocichla mustelina	spring	26-May-15	SY	Male	positive		New	Plasmodium				TUMIG03				3	0	1	1	0	1	0	0	
264173021	30322	Rushton_1	Passeriformes	Turdidae	Hylocichla mustelina	spring	26-May-15	SY	Female												3	0	0	0	0	0	0	0	
264173022	30323	Rushton_1	Passeriformes	Mimidae	Dumetella carolinensis	spring	26-May-15	SY	Male												2	0	0	0	0	0	0	0	
264173023	30324	Rushton_1	Passeriformes	Mimidae	Dumetella carolinensis	spring	26-May-15	ASY	Male												2	0	0	0	0	0	0	0	
264172977	30325	Rushton_1	Passeriformes	Icteridae	Icterus galbula	spring	26-May-15	SY	Female												3	0	0	0	0	0	0	0	
217102987	30326	Rushton_1	Passeriformes	Parulidae	Seiurus aurocapilla	summer	6-Jun-15	ASY	Female												3	1	0	0	0	0	0	0	
264173024	30327	Rushton_1	Passeriformes	Turdidae	Hylocichla mustelina	summer	6-Jun-15	SY	Male	positive		Old	Plasmodium				TUMIG03				3	1	1	1	0	1	0	0	
255102547	30328	Rushton_1	Passeriformes	Turdidae	Catharus fuscescens	summer	6-Jun-15	ASY	Male												3	1	0	0	0	0	0	0	
255102577	30329	Rushton_1	Passeriformes	Turdidae	Catharus fuscescens	summer	6-Jun-15	SY	Female		positive	New	Leucocytozoon				CATFUS17				3	1	1	1	0	0	1	0	
256185782	30330	Rushton_1	Passeriformes	Turdidae	Hylocichla mustelina	summer	6-Jun-15	ASY	Male	positive		Old	Plasmodium				TUMIG03				3	1	1	1	0	1	0	0	
244110588	30331	Rushton_1	Passeriformes	Turdidae	Catharus fuscescens	summer	6-Jun-15	ASY	Male												3	1	0	0	0	0	0	0	
256185081	30332	Rushton_1	Passeriformes	Turdidae	Hylocichla mustelina	summer	6-Jun-15	SY	Male	positive		New	Plasmodium				TUMIG03				3	1	1	1	0	1	0	0	
264173026	30333	Rushton_2	Passeriformes	Mimidae	Dumetella carolinensis	summer	6-Jun-15	ASY	Male	positive		Old	Haemoproteus	Plasmodium			MAFUS02	PADOM11			2	1	2	1	1	1	0	1	
255102538	30334	Rushton_2	Passeriformes	Turdidae	Catharus fuscescens	summer	6-Jun-15	ASY	Female												3	1	0	0	0	0	0	0	
217102985	30335	Rushton_2	Passeriformes	Parulidae	Seiurus aurocapilla	summer	6-Jun-15	SY	Male												3	1	0	0	0	0	0	0	
255102578	30336	Rushton_2	Passeriformes	Turdidae	Catharus fuscescens	summer	6-Jun-15	AHY	Female	positive	positive	Old	Plasmodium	Leucocytozoon			CATUST06	CATFUS18			3	1	2	1	0	1	1	1	
264173027	30337	Rushton_2	Passeriformes	Mimidae	Dumetella carolinensis	summer	6-Jun-15	SY	Male	positive		Old	Haemoproteus				MAFUS02				NA	NA	1	1	1	0	0	0	
255102579	30338	Rushton_2	Piciformes	Picidae	Picoides pubescens	summer	6-Jun-15	TY	Male	positive		Old	Plasmodium				PADOM11				0	1	1	1	0	1	0	0	
217102982	30339	Rushton_2	Passeriformes	Parulidae	Seiurus aurocapilla	summer	6-Jun-15	ASY	Male	positive		Old	Plasmodium				PADOM11				3	1	1	1	0	1	0	0	
244110567	30340	Rushton_2	Passeriformes	Turdidae	Catharus fuscescens	summer	6-Jun-15	ASY	Female												3	1	0	0	0	0	0	0	
256185797	30343	Rushton_2	Passeriformes	Mimidae	Dumetella carolinensis	summer	6-Jun-15	SY	Male	positive		Old	Haemoproteus				MAFUS02				2	1	1	1	1	0	0	0	
264173028	30344	Rushton_2	Passeriformes	Mimidae	Dumetella carolinensis	summer	6-Jun-15	SY	Male	positive		Old	Plasmodium				PADOM11				2	1	1	1	0	1	0	0	
266057140	30345	Rushton_2	Passeriformes	Parulidae	Geothlypis trichas	summer	16-Jun-15	SY	Male												2	1	0	0	0	0	0	0	
264173029	30346	Rushton_2	Passeriformes	Turdidae	Hylocichla mustelina	summer	16-Jun-15	SY	Male	positive		Old	Plasmodium				TUMIG03				3	1	1	1	0	1	0	0	
256185084	30347	Rushton_2	Passeriformes	Turdidae	Hylocichla mustelina	summer	16-Jun-15	ASY	Male	positive	positive	Old	Plasmodium	Leucocytozoon			TUMIG03	CATMIN01			3	1	2	1	0	1	1	1	
255102560	30348	Rushton_2	Passeriformes	Turdidae	Catharus fuscescens	summer	16-Jun-15	ASY	Female												3	1	0	0	0	0	0	0	
255102515	30349	Rushton_2	Passeriformes	Turdidae	Catharus fuscescens	summer	16-Jun-15	ASY	Male												3	1	0	0	0	0	0	0	
217102986	30351	Rushton_2	Passeriformes	Vireonidae	Vireo olivaceus	summer	16-Jun-15	AHY	Female												3	1	0	0	0	0	0	0	
217102988	30352	Rushton_2	Passeriformes	Vireonidae	Vireo olivaceus	summer	16-Jun-15	AHY	Male	positive		Old	Haemoproteus				VIOLI11				3	1	1	1	1	0	0	0	
264173030	30353	Rushton_2	Passeriformes	Turdidae	Hylocichla mustelina	summer	16-Jun-15	SY	Male	positive	positive	Old	Plasmodium	Leucocytozoon			TUMIG03	CATMIN01			3	1	2	1	0	1	1	1	
264173031	30356	Rushton_2	Passeriformes	Mimidae	Dumetella carolinensis	summer	16-Jun-15	SY	Male	positive		Old	Haemoproteus				MAFUS02				2	1	1	1	1	0	0	0	
