#no	Lineage_Name	Alt_Lineage_Name	parasiteGenus	order	family	genus	species	subspecies	Host_Status	Host_Age	Host_Environment	continent	country	region	site	coordinates	found	tested	Reference_Name	comment
2937	COLBF21	 	Leucocytozoon	Passeriformes	Fringillidae	Piranga	Piranga ludoviciana	 	Migratory	Unknown	Wild	North America	United States	New Mexico	Zuni Mountains	35°10.74000', -108°07.92000'	1	7	Barrow et al unpubl	MSB:Bird:47992
2938	COLBF21	 	Leucocytozoon	Passeriformes	Fringillidae	Piranga	Piranga flava	 	Migratory	Unknown	Wild	North America	United States	New Mexico	Zuni Mountains	35°10.74000', -108°07.92000'	1	14	Barrow et al unpubl	MSB:Bird:48005
2939	COLBF21	 	Leucocytozoon	Passeriformes	Tyrannidae	Empidonax	Empidonax wrightii	 	Migratory	Unknown	Wild	North America	United States	New Mexico	Jemez Mountains	35°50.22000', -106°33.48000'	1	2	Barrow et al unpubl	MSB:Bird:48075
2940	COLBF21	 	Leucocytozoon	Passeriformes	Vireonidae	Vireo	Vireo plumbeus	 	Migratory	Unknown	Wild	North America	United States	New Mexico	Zuni Mountains	35°10.74000', -108°07.92000'	1	8	Barrow et al unpubl	MSB:Bird:48107
2941	COLBF21	 	Leucocytozoon	Passeriformes	Turdidae	Sialia	Sialia mexicana	 	Migratory	Unknown	Wild	North America	United States	New Mexico	Zuni Mountains	35°10.74000', -108°07.92000'	1	6	Barrow et al unpubl	MSB:Bird:48112
2942	COLBF21	 	Leucocytozoon	Passeriformes	Vireonidae	Vireo	Vireo plumbeus	 	Migratory	Unknown	Wild	North America	United States	New Mexico	Jemez Mountains	35°50.22000', -106°33.48000'	2	16	Barrow et al unpubl	MSB:Bird:48142;48214
2943	COLBF21	 	Leucocytozoon	Piciformes	Picidae	Picoides	Picoides villosus	 	Resident	Unknown	Wild	North America	United States	New Mexico	Jemez Mountains	35°50.22000', -106°33.48000'	1	3	Barrow et al unpubl	MSB:Bird:48178
2944	COLBF21	 	Leucocytozoon	Passeriformes	Certhiidae	Polioptila	Polioptila caerulea	 	Migratory	Unknown	Wild	North America	United States	New Mexico	Jemez Mountains	35°50.22000', -106°33.48000'	1	5	Barrow et al unpubl	MSB:Bird:48229
2945	COLBF21	 	Leucocytozoon	Passeriformes	Turdidae	Hylocichla	Hylocichla mustelina	 	Migratory	Adult	Wild	North America	United States	 	Chester Co, Pennsylvania	39°59.04000', -075°29.16000'	1	 	Fecchio et al 2019d	 
2946	COLBF21	 	Leucocytozoon	Passeriformes	Paridae	Poecile	Poecile atricapilla	 	Resident	Adult	Wild	North America	United States	 	Andes, New York	42°11.90833', -074°52.81233'	1	 	Fecchio et al 2019d	 
2947	COLBF21	 	Leucocytozoon	Passeriformes	Icteridae	Agelaius	Agelaius phoeniceus	 	Migratory	Adult	Wild	North America	United States	 	Andes, New York	42°11.90833', -074°52.81233'	1	 	Fecchio et al 2019d	 
2948	COLBF21	 	Leucocytozoon	Passeriformes	Vireonidae	Vireo	Vireo olivaceus	 	Migratory	Adult	Wild	North America	United States	 	Andes, New York	42°11.90833', -074°52.81233'	1	 	Fecchio et al 2019d	 
2949	COLBF21	 	Leucocytozoon	Passeriformes	Fringillidae	Melospiza	Melospiza melodia	 	Migratory	Adult	Wild	North America	United States	 	Andes, New York	42°11.90833', -074°52.81233'	1	 	Fecchio et al 2019d	 
2950	COLBF21	 	Leucocytozoon	Passeriformes	Paridae	Poecile	Poecile atricapilla	 	Resident	Adult	Wild	North America	United States	Pennsylvania	Hawk Mountain	40°39.00000', -076°00.00000'	3	49	Rice et al 2021	 
2951	COLBF21	 	Leucocytozoon	Passeriformes	Paridae	Poecile	Poecile atricapilla	 	Resident	Adult	Wild	North America	United States	Pennsylvania	Tuscarora State Park	40°38.00000', -076°01.80000'	1	119	Rice et al 2021	 
2952	COLBF21	 	Leucocytozoon	Passeriformes	Paridae	Parus	Parus carolinensis	 	Resident	Adult + Juvenile	Wild	North America	United States	Pennsylvania	Great Marsh	40°08.00000', -075°43.80000'	15	336	Rice et al 2021	 
2953	COLBF21	 	Leucocytozoon	Passeriformes	Paridae	Parus	Parus carolinensis	 	Resident	Adult + Juvenile	Wild	North America	United States	Pennsylvania	Nolde Forest Environmental Education Center	40°16.20000', -075°57.00000'	3	113	Rice et al 2021	 
2954	COLBF21	 	Leucocytozoon	Passeriformes	Paridae	Parus	Parus carolinensis	 	Resident	Adult	Wild	North America	United States	Pennsylvania	Hawk Mountain	40°39.00000', -076°00.00000'	2	40	Rice et al 2021	 
2955	COLBF21	 	Leucocytozoon	Passeriformes	Paridae	Poecile	Poecile atricapillus x carolinensis	 	Resident	Adult	Wild	North America	United States	Pennsylvania	Nolde Forest Environmental Education Center	40°16.20000', -075°57.00000'	6	147	Rice et al 2021	 
2956	COLBF21	 	Leucocytozoon	Passeriformes	Paridae	Poecile	Poecile atricapillus x carolinensis	 	Resident	Adult	Wild	North America	United States	Pennsylvania	Hawk Mountain	40°39.00000', -076°00.00000'	6	149	Rice et al 2021	 
2957	COLBF23	 	Leucocytozoon	Passeriformes	Fringillidae	Pipilo	Pipilo maculatus	 	Migratory	Unknown	Wild	North America	United States	New Mexico	Jemez Mountains	35°50.22000', -106°33.48000'	1	10	Barrow et al unpubl	MSB:Bird:47940
2958	COLBF25	 	Leucocytozoon	Passeriformes	Parulidae	Dendroica	Dendroica coronata	Dendroica coronata auduboni	Migratory	Adult	Wild	North America	United States	New Mexico	Jemez Mountains	35°50.22000', -106°33.48000'	1	17	Williamson et al 2019	MSB:Bird:41218
2959	COLBF25	 	Leucocytozoon	Passeriformes	Parulidae	Dendroica	Dendroica coronata	Dendroica coronata auduboni	Migratory	Adult	Wild	North America	United States	New Mexico	Mt. Taylor	35°19.73000', -107°32.76000'	1	26	Williamson et al 2019	MSB:Bird:40765
2960	COLBF28	 	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus migratorius	 	Migratory	Adult	Wild	North America	United States	Alaska	Denali Highway near Seattle Creek	63°19.43100', -148°13.90860'	2	8	Galen et al 2018	 
2961	COLBF28	 	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus migratorius	 	Migratory	Adult	Wild	North America	United States	Alaska	Denali Highway Corkscrew Creek	63°02.32860', -147°00.22320'	1	2	Galen et al 2018	 
