#no	Lineage_Name	Alt_Lineage_Name	parasiteGenus	order	family	genus	species	subspecies	Host_Status	Host_Age	Host_Environment	continent	country	region	site	coordinates	found	tested	Reference_Name	comment
10283	SETAUD24	 	Plasmodium	Passeriformes	Fringillidae	Ramphocelus	Ramphocelus carbo	 	Unknown	Unknown	Wild	South America	Peru	 	Community_1	-11°42.66000', -069°12.76800'	2	6	McNew et al 2021	Precise locality information as well as age/sex for individual hosts is available in supplemental datasets for McNew et al. 2021
10284	SETAUD24	 	Plasmodium	Passeriformes	Furnariidae	Sclerurus	Sclerurus mexicanus	 	Unknown	Unknown	Wild	South America	Peru	 	Community_13	-07°25.45300', -076°17.40599'	1	2	McNew et al 2021	Precise locality information as well as age/sex for individual hosts is available in supplemental datasets for McNew et al. 2021
10285	SETAUD24	 	Plasmodium	Passeriformes	Rhinocryptidae	Scytalopus	Scytalopus sp.	 	Unknown	Unknown	Wild	South America	Peru	 	Community_13	-07°25.45300', -076°17.40599'	1	1	McNew et al 2021	Precise locality information as well as age/sex for individual hosts is available in supplemental datasets for McNew et al. 2021
10286	SETAUD24	 	Plasmodium	Passeriformes	Thamnophilidae	Thamnophilus	Thamnophilus aethiops	 	Unknown	Unknown	Wild	South America	Peru	 	Community_13	-07°25.45300', -076°17.40599'	1	3	McNew et al 2021	Precise locality information as well as age/sex for individual hosts is available in supplemental datasets for McNew et al. 2021
10287	SETAUD24	 	Plasmodium	Passeriformes	Fringillidae	Volatinia	Volatinia jacarina	 	Unknown	Unknown	Wild	South America	Peru	 	Community_1	-11°42.66000', -069°12.76800'	1	7	McNew et al 2021	Precise locality information as well as age/sex for individual hosts is available in supplemental datasets for McNew et al. 2021
10288	SETAUD24	 	Plasmodium	Passeriformes	Furnariidae	Xenops	Xenops minutus	 	Unknown	Unknown	Wild	South America	Peru	 	Community_1	-11°42.66000', -069°12.76800'	1	3	McNew et al 2021	Precise locality information as well as age/sex for individual hosts is available in supplemental datasets for McNew et al. 2021
10289	SETAUD24	 	Plasmodium	Passeriformes	Dendrocolaptidae	Xiphorhynchus	Xiphorhynchus elegans	 	Unknown	Unknown	Wild	South America	Peru	 	Community_13	-07°25.45300', -076°17.40599'	2	4	McNew et al 2021	Precise locality information as well as age/sex for individual hosts is available in supplemental datasets for McNew et al. 2021
10290	SETAUD25	 	Leucocytozoon	Passeriformes	Parulidae	Dendroica	Dendroica coronata	Dendroica coronata auduboni	Migratory	Adult	Wild	North America	United States	New Mexico	Mt. Taylor	35°19.73000', -107°32.76000'	1	26	Williamson et al 2019	MSB:Bird:41198
10291	SETAUD25	 	Leucocytozoon	Passeriformes	Parulidae	Dendroica	Dendroica coronata	Dendroica coronata auduboni	Migratory	Unknown	Wild	North America	United States	New Mexico	Jemez Mountains	35°50.22000', -106°33.48000'	1	7	Barrow et al unpubl	MSB:Bird:48172
10292	SETAUD25	 	Leucocytozoon	Passeriformes	Fringillidae	Zonotrichia	Zonotrichia albicollis	 	Migratory	Adult	Wild	North America	United States	 	Chester Co, Pennsylvania	39°59.04000', -075°29.16000'	1	 	Fecchio et al 2019d	 
10293	SETAUD26	 	Leucocytozoon	Passeriformes	Parulidae	Dendroica	Dendroica coronata	Dendroica coronata auduboni	Migratory	Adult	Wild	North America	United States	New Mexico	Mt. Taylor	35°19.73000', -107°32.76000'	1	26	Williamson et al 2019	MSB:Bird:40761
10294	SETAUD27	 	Leucocytozoon	Passeriformes	Parulidae	Dendroica	Dendroica coronata	Dendroica coronata auduboni	Migratory	Adult	Wild	North America	United States	New Mexico	San Mateo Mountains	33°50.22000', -107°28.86000'	1	18	Williamson et al 2019	MSB:Bird:41439
10295	SETAUD28	 	Leucocytozoon	Passeriformes	Parulidae	Dendroica	Dendroica coronata	Dendroica coronata auduboni	Migratory	Adult	Wild	North America	United States	New Mexico	Mt. Taylor	35°19.73000', -107°32.76000'	1	26	Williamson et al 2019	MSB:Bird:40764
10296	SETAUD29	 	Leucocytozoon	Passeriformes	Parulidae	Dendroica	Dendroica coronata	Dendroica coronata auduboni	Migratory	Adult	Wild	North America	United States	New Mexico	Jemez Mountains	35°50.22000', -106°33.48000'	1	17	Williamson et al 2019	MSB:Bird:44114
10297	SETAUD30	 	Leucocytozoon	Passeriformes	Parulidae	Dendroica	Dendroica coronata	Dendroica coronata auduboni	Migratory	Adult	Wild	North America	United States	New Mexico	Capitan Mountains	33°36.84000', -105°25.26000'	1	45	Williamson et al 2019	MSB:Bird:41220
10298	SETAUD30	LEPCOR08	Leucocytozoon	Passeriformes	Pipridae	Lepidothrix	Lepidothrix coronata	 	Resident	Unknown	Wild	South America	Brazil	Amazonas	Purus-Madeira	 -04°50.00000',  -059°21.00000'	5	90	Fecchio et al 2018a	 
10299	SETAUD30	 	Leucocytozoon	Passeriformes	Fringillidae	Piranga	Piranga flava	 	Migratory	Unknown	Wild	North America	United States	New Mexico	Mt. Taylor	35°19.73400', -107°32.76000'	1	8	Barrow et al unpubl	MSB:Bird:47824
10300	SETAUD30	 	Leucocytozoon	Passeriformes	Fringillidae	Piranga	Piranga flava	 	Migratory	Unknown	Wild	North America	United States	New Mexico	Zuni Mountains	35°10.74000', -108°07.92000'	1	14	Barrow et al unpubl	MSB:Bird:48119
10301	SETAUD30	VIRHUT04	Leucocytozoon	Passeriformes	Vireonidae	Vireo	Vireo huttoni	 	Resident	Adult	Wild	North America	Mexico	 	Parque Ejidal San Nicolas Totolapan	19°14.75000', -099°15.08333'	1	4	Fecchio et al 2019c	 
10302	SETAUD31	 	Leucocytozoon	Passeriformes	Parulidae	Dendroica	Dendroica coronata	Dendroica coronata auduboni	Migratory	Adult	Wild	North America	United States	New Mexico	San Mateo Mountains	33°50.22000', -107°28.86000'	1	18	Williamson et al 2019	MSB:Bird:41425
10303	SETCOR01	 	Haemoproteus	Passeriformes	Parulidae	Dendroica	Dendroica coronata	 	Migratory	Adult	Wild	North America	United States	New Mexico	Mesa Chivato	35°32.00000', -107°21.00000'	2	7	Marroquin-Flores unpub	 
10304	SETCOR01	 	Haemoproteus	Passeriformes	Parulidae	Dendroica	Dendroica coronata	Dendroica coronata auduboni	Migratory	Adult	Wild	North America	United States	New Mexico	Capitan Mountains	33°36.84000', -105°25.26000'	1	45	Williamson et al 2019	MSB:Bird:41234
10305	SETCOR01	 	Haemoproteus	Passeriformes	Parulidae	Dendroica	Dendroica coronata	Dendroica coronata auduboni	Migratory	Adult	Wild	North America	United States	New Mexico	Mt. Taylor	35°19.73000', -107°32.76000'	6	26	Williamson et al 2019	MSB:Bird:40767;Bird:44108;Bird:40763;Bird:40760;Bird:45030;Bird:45031
10306	SETCOR01	 	Haemoproteus	Passeriformes	Parulidae	Dendroica	Dendroica coronata	Dendroica coronata auduboni	Migratory	Adult	Wild	North America	United States	New Mexico	Zuni Mountains	35°10.74000', -108°07.92000'	1	17	Williamson et al 2019	MSB:Bird:41200
10307	SETCOR01	ORERUF01	Haemoproteus	Passeriformes	Parulidae	Vermivora	Vermivora ruficapilla	 	Migratory	Unknown	Wild	North America	United States	Michigan	 	 	 	 	Smith et al 2018	 
10308	SETCOR01	ORERUF01	Haemoproteus	Passeriformes	Parulidae	Dendroica	Dendroica coronata	 	Unknown	Unknown	Wild	North America	United States	Michigan	 	 	 	 	Smith et al 2018	 
10309	SETCOR01	 	Haemoproteus	Passeriformes	Parulidae	Dendroica	Dendroica coronata	Dendroica coronata auduboni	Migratory	Unknown	Wild	North America	United States	New Mexico	Jemez Mountains	35°50.22000', -106°33.48000'	1	7	Barrow et al unpubl	MSB:Bird:47985
10310	SETCOR02	 	Leucocytozoon	Passeriformes	Parulidae	Dendroica	Dendroica coronata	 	Migratory	Adult	Wild	North America	United States	Alaska	Elliott Highway Mile 99	65°17.33940', -149°17.44980'	1	6	Galen et al 2018	 
10311	SETCOR03	 	Plasmodium	Passeriformes	Parulidae	Dendroica	Dendroica coronata	Dendroica coronata coronata	Migratory	Adult	Wild	North America	Canada	British Columbia	Moberly Lake	55°49.14540', -121°35.74740'	1	12	Cozzarolo et al 2018	 
10312	SETCOR03	 	Plasmodium	Passeriformes	Parulidae	Dendroica	Dendroica coronata	Dendroica coronata coronata	Migratory	Adult	Wild	North America	Canada	British Columbia	Moberly Lake	55°49.14540', -121°35.74740'	1	12	Cozzarolo et al 2018	 
10313	SETCOR03	 	Plasmodium	Passeriformes	Parulidae	Setophaga	Setophaga citrina	 	Migratory	Unknown	Wild	North America	United States	Texas	Mad Island Marsh Preserve	28°37.61778', -096°06.03324'	1	34	DeBrock et al 2021	 
10314	SETCOR03	 	Plasmodium	Passeriformes	Vireonidae	Vireo	Vireo flavifrons	 	Migratory	Unknown	Wild	North America	United States	Texas	Mad Island Marsh Preserve	28°37.61778', -096°06.03324'	1	1	DeBrock et al 2021	 
10315	SETCOR04	 	Leucocytozoon	Passeriformes	Parulidae	Dendroica	Dendroica coronata	Dendroica coronata coronata	Migratory	Adult	Wild	North America	Canada	British Columbia	Pine Le Moray, E	55°31.19040', -122°42.49860'	1	14	Cozzarolo et al 2018	 
10316	SETCOR04	 	Leucocytozoon	Passeriformes	Parulidae	Dendroica	Dendroica coronata	Dendroica coronata coronata	Migratory	Adult	Wild	North America	Canada	British Columbia	Pine Le Moray, W	55°28.97640', -122°47.08260'	1	14	Cozzarolo et al 2018	 
10317	SETCOR05	 	Leucocytozoon	Passeriformes	Parulidae	Dendroica	Dendroica coronata	Setophaga c coronata x auduboni	Migratory	Adult	Wild	North America	Canada	Alberta	Cline River	52°10.90020', -116°28.80060'	1	25	Cozzarolo et al 2018	 
10318	SETCOR05	 	Leucocytozoon	Passeriformes	Parulidae	Dendroica	Dendroica coronata	Setophaga c coronata x auduboni	Migratory	Adult	Wild	North America	Canada	Alberta	Cline River	52°10.90020', -116°28.80060'	1	25	Cozzarolo et al 2018	 
10319	SETCOR06	 	Leucocytozoon	Passeriformes	Parulidae	Dendroica	Dendroica coronata	Dendroica coronata auduboni	Migratory	Adult	Wild	North America	Canada	Alberta	Crowsnest Pass	49°40.64940', -114°35.58720'	1	11	Cozzarolo et al 2018	 
10320	SETCOR06	 	Leucocytozoon	Passeriformes	Parulidae	Dendroica	Dendroica coronata	Dendroica coronata auduboni	Migratory	Adult	Wild	North America	Canada	Alberta	Crowsnest Pass	49°40.64940', -114°35.58720'	1	11	Cozzarolo et al 2018	 
10321	SETCOR06	SETNIG01	Leucocytozoon	Passeriformes	Parulidae	Dendroica	Dendroica nigrescens	 	Migratory	Unknown	Wild	North America	United States	New Mexico	Mt. Taylor	35°19.73400', -107°32.76000'	1	1	Barrow et al unpubl	MSB:Bird:47769
10322	SETCOR06	SETNIG01	Leucocytozoon	Passeriformes	Parulidae	Setophaga	Setophaga graciae	 	Migratory	Unknown	Wild	North America	United States	New Mexico	Zuni Mountains	35°10.74000', -108°07.92000'	1	1	Barrow et al unpubl	MSB:Bird:47821
10323	SETCOR06	SETNIG01	Leucocytozoon	Passeriformes	Vireonidae	Vireo	Vireo gilvus	 	Migratory	Unknown	Wild	North America	United States	New Mexico	Jemez Mountains	35°50.22000', -106°33.48000'	1	6	Barrow et al unpubl	MSB:Bird:47914
10324	SETCOR06	SETNIG01	Leucocytozoon	Passeriformes	Fringillidae	Carduelis	Carduelis psaltria	 	Migratory	Unknown	Wild	North America	United States	New Mexico	Jemez Mountains	35°50.22000', -106°33.48000'	1	3	Barrow et al unpubl	MSB:Bird:47956
10325	SETCOR06	SETNIG01	Leucocytozoon	Passeriformes	Vireonidae	Vireo	Vireo plumbeus	 	Migratory	Unknown	Wild	North America	United States	New Mexico	Jemez Mountains	35°50.22000', -106°33.48000'	1	16	Barrow et al unpubl	MSB:Bird:47964
10326	SETCOR06	SETNIG01	Leucocytozoon	Passeriformes	Aegithalidae	Psaltriparus	Psaltriparus minimus	 	Resident	Unknown	Wild	North America	United States	New Mexico	Zuni Mountains	35°10.74000', -108°07.92000'	1	1	Barrow et al unpubl	MSB:Bird:48161
10327	SETCOR06	SETNIG01	Leucocytozoon	Passeriformes	Tyrannidae	Empidonax	Empidonax wrightii	 	Migratory	Unknown	Wild	North America	United States	New Mexico	Jemez Mountains	35°50.22000', -106°33.48000'	1	2	Barrow et al unpubl	MSB:Bird:48183
10328	SETCOR06	SETNIG01	Leucocytozoon	Passeriformes	Sittidae	Sitta	Sitta carolinensis	 	Resident	Unknown	Wild	North America	United States	New Mexico	Jemez Mountains	35°50.22000', -106°33.48000'	1	1	Barrow et al unpubl	MSB:Bird:48221
10329	SETCOR06	TROAED25	Leucocytozoon	Passeriformes	Certhiidae	Troglodytes	Troglodytes aedon	 	Resident	Adult	Wild	North America	Mexico	 	Parque Ejidal San Nicolas Totolapan	19°14.75000', -099°15.08333'	2	4	Fecchio et al 2019c	 
10330	SETCOR07	 	Leucocytozoon	Passeriformes	Parulidae	Dendroica	Dendroica coronata	Dendroica coronata coronata	Migratory	Adult	Wild	North America	United States	Alaska	Anchorage	61°09.26040', -149°44.22000'	1	24	Cozzarolo et al 2018	 
10331	SETCOR07	 	Leucocytozoon	Passeriformes	Parulidae	Dendroica	Dendroica coronata	Dendroica coronata coronata	Migratory	Adult	Wild	North America	United States	Alaska	Anchorage	61°09.26040', -149°44.22000'	1	24	Cozzarolo et al 2018	 
10332	SETCOR07	 	Leucocytozoon	Passeriformes	Parulidae	Dendroica	Dendroica coronata	Dendroica coronata coronata	Migratory	Adult	Wild	North America	Canada	Alberta	Cold Lake	54°27.32000', -110°11.00000'	1	10	Cozzarolo et al 2018	 
10333	SETCOR07	 	Leucocytozoon	Passeriformes	Parulidae	Dendroica	Dendroica coronata	Dendroica coronata coronata	Migratory	Adult	Wild	North America	Canada	Alberta	Cold Lake	54°27.32000', -110°11.00000'	1	10	Cozzarolo et al 2018	 
10334	SETCOR07	 	Leucocytozoon	Passeriformes	Paridae	Poecile	Poecile atricapillus x carolinensis	 	Resident	Adult	Wild	North America	United States	Pennsylvania	Nolde Forest Environmental Education Center	40°16.20000', -075°57.00000'	2	147	Rice et al 2021	 
10335	SETCOR07	 	Leucocytozoon	Passeriformes	Paridae	Parus	Parus carolinensis	 	Resident	Adult	Wild	North America	United States	Pennsylvania	Great Marsh	40°08.00000', -075°43.80000'	1	336	Rice et al 2021	 
10336	SETCOR08	 	Leucocytozoon	Passeriformes	Parulidae	Dendroica	Dendroica coronata	Dendroica coronata auduboni	Migratory	Adult	Wild	North America	Canada	British Columbia	Gavin Lake	52°27.73320', -121°41.06640'	1	18	Cozzarolo et al 2018	 
10337	SETCOR08	 	Leucocytozoon	Passeriformes	Parulidae	Dendroica	Dendroica coronata	Dendroica coronata auduboni	Migratory	Adult	Wild	North America	Canada	British Columbia	Gavin Lake	52°27.73320', -121°41.06640'	1	18	Cozzarolo et al 2018	 
10338	SETCOR09	 	Leucocytozoon	Passeriformes	Parulidae	Dendroica	Dendroica coronata	Dendroica coronata coronata	Migratory	Adult	Wild	North America	Canada	British Columbia	Morchuea Lake	57°59.07960', -130°46.18200'	1	13	Cozzarolo et al 2018	 
10339	SETCOR09	 	Leucocytozoon	Passeriformes	Parulidae	Dendroica	Dendroica coronata	Dendroica coronata coronata	Migratory	Adult	Wild	North America	Canada	British Columbia	Morchuea Lake	57°59.07960', -130°46.18200'	1	13	Cozzarolo et al 2018	 
10340	SETCOR10	 	Leucocytozoon	Passeriformes	Parulidae	Dendroica	Dendroica coronata	Dendroica coronata auduboni	Migratory	Adult	Wild	North America	Canada	British Columbia	Gavin Lake	52°27.73320', -121°41.06640'	1	18	Cozzarolo et al 2018	 
10341	SETCOR10	 	Leucocytozoon	Passeriformes	Parulidae	Dendroica	Dendroica coronata	Dendroica coronata auduboni	Migratory	Adult	Wild	North America	Canada	British Columbia	Gavin Lake	52°27.73320', -121°41.06640'	1	18	Cozzarolo et al 2018	 
10342	SETCOR11	 	Leucocytozoon	Passeriformes	Parulidae	Dendroica	Dendroica coronata	Dendroica coronata coronata	Migratory	Adult	Wild	North America	Canada	British Columbia	Moberly Lake	55°49.14540', -121°35.74740'	1	12	Cozzarolo et al 2018	 
10343	SETCOR11	 	Leucocytozoon	Passeriformes	Parulidae	Dendroica	Dendroica coronata	Dendroica coronata coronata	Migratory	Adult	Wild	North America	Canada	British Columbia	Moberly Lake	55°49.14540', -121°35.74740'	1	12	Cozzarolo et al 2018	 
10344	SETCOR12	 	Leucocytozoon	Passeriformes	Parulidae	Dendroica	Dendroica coronata	Dendroica coronata coronata	Migratory	Adult	Wild	North America	Canada	Yukon Territory	Watson Lake	60°15.03000', -129°34.85400'	1	12	Cozzarolo et al 2018	 
10345	SETCOR12	 	Leucocytozoon	Passeriformes	Parulidae	Dendroica	Dendroica coronata	Dendroica coronata coronata	Migratory	Adult	Wild	North America	Canada	Yukon Territory	Watson Lake	60°15.03000', -129°34.85400'	1	12	Cozzarolo et al 2018	 
10346	SETCOR13	 	Leucocytozoon	Passeriformes	Parulidae	Dendroica	Dendroica coronata	Dendroica coronata auduboni	Migratory	Adult	Wild	North America	Canada	British Columbia	Yard Creek	50°53.95500', -118°48.84960'	1	14	Cozzarolo et al 2018	 
10347	SETCOR13	 	Leucocytozoon	Passeriformes	Parulidae	Dendroica	Dendroica coronata	Dendroica coronata auduboni	Migratory	Adult	Wild	North America	Canada	British Columbia	Yard Creek	50°53.95500', -118°48.84960'	1	14	Cozzarolo et al 2018	 
10348	SETCOR14	 	Leucocytozoon	Passeriformes	Parulidae	Dendroica	Dendroica coronata	Setophaga c coronata x auduboni	Migratory	Adult	Wild	North America	Canada	Alberta	Sibbald Lake, E	51°19.12800', -114°51.80820'	1	18	Cozzarolo et al 2018	 
10349	SETCOR14	 	Leucocytozoon	Passeriformes	Parulidae	Dendroica	Dendroica coronata	Setophaga c coronata x auduboni	Migratory	Adult	Wild	North America	Canada	Alberta	Sibbald Lake, E	51°19.12800', -114°51.80820'	1	18	Cozzarolo et al 2018	 
10350	SETCOR14	 	Leucocytozoon	Passeriformes	Paridae	Poecile	Poecile atricapillus x carolinensis	 	Resident	Adult	Wild	North America	United States	Pennsylvania	Hawk Mountain	40°39.00000', -076°00.00000'	1	149	Rice et al 2021	 
10351	SETCOR15	 	Leucocytozoon	Passeriformes	Parulidae	Dendroica	Dendroica coronata	Setophaga c coronata x auduboni	Migratory	Adult	Wild	North America	Canada	British Columbia	Todagin	57°38.23500', -130°35.18400'	1	28	Cozzarolo et al 2018	 
10352	SETCOR15	 	Leucocytozoon	Passeriformes	Parulidae	Dendroica	Dendroica coronata	Setophaga c coronata x auduboni	Migratory	Adult	Wild	North America	Canada	British Columbia	Todagin	57°38.23500', -130°35.18400'	1	28	Cozzarolo et al 2018	 
10353	SETCOR16	 	Leucocytozoon	Passeriformes	Parulidae	Dendroica	Dendroica coronata	Dendroica coronata auduboni	Migratory	Adult	Wild	North America	Canada	British Columbia	Whiskers Point	54°54.15420', -122°55.68720'	1	13	Cozzarolo et al 2018	 
10354	SETCOR16	 	Leucocytozoon	Passeriformes	Parulidae	Dendroica	Dendroica coronata	Dendroica coronata auduboni	Migratory	Adult	Wild	North America	Canada	British Columbia	Whiskers Point	54°54.15420', -122°55.68720'	1	13	Cozzarolo et al 2018	 
10355	SETCOR17	 	Leucocytozoon	Passeriformes	Parulidae	Dendroica	Dendroica coronata	Setophaga c coronata x auduboni	Migratory	Adult	Wild	North America	Canada	British Columbia	Pine Le Moray, E	55°31.19040', -122°42.49860'	1	14	Cozzarolo et al 2018	 
10356	SETCOR17	 	Leucocytozoon	Passeriformes	Parulidae	Dendroica	Dendroica coronata	Setophaga c coronata x auduboni	Migratory	Adult	Wild	North America	Canada	British Columbia	Pine Le Moray, W	55°28.97640', -122°47.08260'	1	14	Cozzarolo et al 2018	 
10357	SETCOR17	 	Leucocytozoon	Passeriformes	Icteridae	Agelaius	Agelaius phoeniceus	 	Migratory	Adult	Wild	North America	United States	 	Andes, New York	42°11.90833', -074°52.81233'	1	 	Fecchio et al 2019d	 
10358	SETCOR18	 	Leucocytozoon	Passeriformes	Parulidae	Dendroica	Dendroica coronata	Dendroica coronata auduboni	Migratory	Adult	Wild	North America	Canada	British Columbia	Kennedy Lake	55°07.72860', -122°49.15020'	1	13	Cozzarolo et al 2018	 
10359	SETCOR18	 	Leucocytozoon	Passeriformes	Parulidae	Dendroica	Dendroica coronata	Dendroica coronata auduboni	Migratory	Adult	Wild	North America	Canada	British Columbia	Kennedy Lake	55°07.72860', -122°49.15020'	1	13	Cozzarolo et al 2018	 
10360	SETCOR19	 	Leucocytozoon	Passeriformes	Parulidae	Dendroica	Dendroica coronata	Dendroica coronata coronata	Migratory	Adult	Wild	North America	United States	Alaska	Anchorage	61°09.26040', -149°44.22000'	1	24	Cozzarolo et al 2018	 
10361	SETCOR19	 	Leucocytozoon	Passeriformes	Parulidae	Dendroica	Dendroica coronata	Dendroica coronata coronata	Migratory	Adult	Wild	North America	United States	Alaska	Anchorage	61°09.26040', -149°44.22000'	1	24	Cozzarolo et al 2018	 
10362	SETGRA01	 	Haemoproteus	Passeriformes	Parulidae	Setophaga	Setophaga graciae	 	Migratory	Juvenile	Wild	North America	United States	New Mexico	Mesa Chivato	35°32.00000', -107°21.00000'	1	5	Marroquin-Flores unpub	 
10363	SETGRA02	 	Leucocytozoon	Passeriformes	Parulidae	Setophaga	Setophaga graciae	 	Migratory	Adult	Wild	North America	United States	New Mexico	Mesa Chivato	35°32.00000', -107°21.00000'	2	5	Marroquin-Flores unpub	 
10364	SETGRA02	 	Leucocytozoon	Passeriformes	Fringillidae	Piranga	Piranga flava	 	Migratory	Unknown	Wild	North America	United States	New Mexico	Zuni Mountains	35°10.74000', -108°07.92000'	4	14	Barrow et al unpubl	MSB:Bird:47738;48003;48084;48185
10365	SETGRA02	 	Leucocytozoon	Passeriformes	Fringillidae	Piranga	Piranga flava	 	Migratory	Unknown	Wild	North America	United States	New Mexico	Mt. Taylor	35°19.73400', -107°32.76000'	2	8	Barrow et al unpubl	MSB:Bird:47759;48264
10366	SETGRA03	 	Leucocytozoon	Passeriformes	Parulidae	Setophaga	Setophaga graciae	 	Migratory	Unknown	Wild	North America	United States	New Mexico	Jemez Mountains	35°50.22000', -106°33.48000'	2	3	Barrow et al unpubl	MSB:Bird:47918;48167
10367	SETPAL02	 	Leucocytozoon	Passeriformes	Parulidae	Dendroica	Dendroica palmarum	 	Migratory	Adult	Wild	North America	United States	 	Chester Co, Pennsylvania	39°59.04000', -075°29.16000'	1	 	Fecchio et al 2019d	 
10368	SETPAL03	 	Leucocytozoon	Passeriformes	Parulidae	Dendroica	Dendroica palmarum	 	Migratory	Adult	Wild	North America	United States	 	Chester Co, Pennsylvania	39°59.04000', -075°29.16000'	1	 	Fecchio et al 2019d	 
10369	SETPET01	 	Plasmodium	Passeriformes	Parulidae	Setophaga	Setophaga petechia	Setophaga petechia aureola	 	 	Wild	South America	Ecuador	Galapagos	 	 	1	 	Levin et al 2013	 
10370	SETPET02	 	Plasmodium	Passeriformes	Parulidae	Setophaga	Setophaga petechia	Setophaga petechia aureola	 	 	Wild	South America	Ecuador	Galapagos	 	 	1	 	Levin et al 2013	 
10371	SETPET03	 	Leucocytozoon	Passeriformes	Parulidae	Setophaga	Setophaga petechia	 	Migratory	Adult	Wild	North America	United States	Alaska	Denali Highway Corkscrew Creek	63°02.32860', -147°00.22320'	1	2	Galen et al 2018	 
10372	SETPET04	 	Leucocytozoon	Passeriformes	Parulidae	Setophaga	Setophaga petechia	 	Migratory	Adult	Wild	North America	United States	Alaska	Denali Highway Corkscrew Creek	63°02.32860', -147°00.22320'	1	2	Galen et al 2018	 
10373	SETSTR01	 	Leucocytozoon	Passeriformes	Parulidae	Setophaga	Setophaga striata	 	Migratory	Adult	Wild	North America	United States	 	Chester Co, Pennsylvania	39°59.04000', -075°29.16000'	1	 	Fecchio et al 2019d	 
10374	SFC1	 	Haemoproteus	Passeriformes	Muscicapidae	Muscicapa	Muscicapa striata	 	 	 	Wild	Asia	Russia	Kaliningradskaya Oblast'	 	 	 	 	Hellgren et al 2007a	 
10375	SFC1	 	Haemoproteus	Passeriformes	Muscicapidae	Muscicapa	Muscicapa striata	 	 	 	Wild	Europe	Sweden	 	 	 	 	 	Hellgren et al 2007a	 
10376	SFC1	hBLUTI1	Haemoproteus	Passeriformes	Paridae	Cyanistes	Cyanistes caeruleus	 	 	 	Wild	Europe	United Kingdom	 	 	 	 	 	Wood et al 2007	 
10377	SFC1	hBLUTI1	Haemoproteus	Passeriformes	Paridae	Cyanistes	Cyanistes caeruleus	 	 	 	Wild	Europe	United Kingdom	 	 	 	 	 	Cosgrove et al 2008	 
10378	SFC1	 	Haemoproteus	Passeriformes	Muscicapidae	Muscicapa	Muscicapa striata	 	 	 	Wild	Asia	Russia	Kaliningradskaya Oblast'	 	 	 	 	Valkiunas et al 2008c	 
10379	SFC1	 	Haemoproteus	Passeriformes	Muscicapidae	Muscicapa	Muscicapa striata	 	 	 	Wild	Europe	Bulgaria	 	 	 	1	3	Dimitrov et al 2010	 
10380	SFC1	 	Haemoproteus	Passeriformes	Paridae	Cyanistes	Cyanistes caeruleus	 	 	 	Wild	Europe	United Kingdom	 	Wytham Wood	51°46.00000', -001°20.00000'	1	 	Knowles et al 2011	 
10381	SFC1	Pa-BLUTI1	Haemoproteus	Passeriformes	Paridae	Cyanistes	Cyanistes caeruleus	 	 	 	Wild	Europe	United Kingdom	 	Wytham Wood	51°46.00000', -001°20.00000'	1	95	Szöllosi et al 2011	 
10382	SFC1	SFC1	Haemoproteus	Passeriformes	Muscicapidae	Muscicapa	Muscicapa striata	 	 	 	Wild	Asia	Russia	Kaliningradskaya Oblast'	Curonian Spit	55°05.00000', 020°44.00000'	1	 	Valkiunas et al 2013a	 
10383	SFC1	H054	Haemoproteus	Passeriformes	Muscicapidae	Muscicapa	Muscicapa striata	 	Migratory	Adult + Juvenile	Wild	Africa	Morocco	 	 	 	6	9	Mata et al 2015	 
10384	SFC1	 	Haemoproteus	Passeriformes	Muscicapidae	Muscicapa	Muscicapa aquatica	 	Resident	Unknown	Wild	Africa	Benin	 	 	 	 	 	Harvey & Voelker 2017	 
10385	SFC1	 	Haemoproteus	Passeriformes	Turdidae	Stiphrornis	Stiphrornis erythrothorax	 	Resident	Unknown	Wild	Africa	Benin	 	 	 	 	 	Harvey & Voelker 2017	 
10386	SFC10	H190	Haemoproteus	Passeriformes	Muscicapidae	Muscicapa	Muscicapa striata	 	Migratory	Adult	Wild	Africa	Morocco	 	 	 	2	9	Mata et al 2015	 
10387	SFC10	 	Haemoproteus	Passeriformes	Muscicapidae	Muscicapa	Muscicapa striata	 	Migratory	Adult	Wild	Europe	Sweden	Skane Lan	Krankesjön	55°41.00000', 013°26.00000'	1	4	Ellis et al 2020	 
10388	SFC11	H187	Haemoproteus	Passeriformes	Muscicapidae	Muscicapa	Muscicapa striata	 	Migratory	Adult + Juvenile	Wild	Africa	Morocco	 	 	 	2	9	Mata et al 2015	 
10389	SFC12	H189	Leucocytozoon	Passeriformes	Muscicapidae	Muscicapa	Muscicapa striata	 	Migratory	Adult	Wild	Africa	Morocco	 	 	 	1	9	Mata et al 2015	 
10390	SFC13	H191	Haemoproteus	Passeriformes	Muscicapidae	Muscicapa	Muscicapa striata	 	Migratory	Juvenile	Wild	Africa	Morocco	 	 	 	1	9	Mata et al 2015	 
10391	SFC3	 	Haemoproteus	Passeriformes	Muscicapidae	Muscicapa	Muscicapa striata	 	 	 	Wild	Europe	Sweden	 	 	 	 	 	Hellgren et al 2007a	 
10392	SFC3	 	Haemoproteus	Passeriformes	Muscicapidae	Ficedula	Ficedula hypoleuca	 	 	 	Wild	Asia	Russia	Kaliningradskaya Oblast'	 	 	 	 	Valkiunas et al 2008c	 
